long,lat,BestGuess,Pro_2_Anti_1_Neutral_0,City_State,City,State
-84.5120196,39.1031182,1350,0,"Dayton, OH",Dayton,OH
-75.9107565,43.9747838,0,0,"Mansfield, OH",Mansfield,OH
-83.555212,41.6639383,300,0,"Toledo, OH",Toledo,OH
-82.5154471,40.75839,30,0,"Yellow Springs , OH",Yellow Springs ,OH
-83.886874,39.8064486,6000,0,"Cincinnati, OH",Cincinnati,OH
-123.2620435,44.5645659,2000,0,"Oklahoma City, OK",Oklahoma City,OK
-97.5164276,35.4675602,4500,0,"Corvallis, OR",Corvallis,OR
-122.6764816,45.5230622,1750,0,"Eugene, OR",Eugene,OR
-123.0867536,44.0520691,2000,1,"Portland, OR",Portland,OR
-123.0350963,44.9428975,1000,0,"Salem, OR",Salem,OR
-75.3704579,40.6259316,0,0,"Beaver, PA",Beaver,PA
-75.1812913,40.9995386,500,0,"Bethlehem, PA",Bethlehem,PA
-75.1652215,39.9525839,200,0,"Doylestown, PA",Doylestown,PA
-76.3055144,40.0378755,0,0,"East Stroudsburg, PA",East Stroudsburg,PA
-80.3047846,40.6953437,200,0,"Lancaster, PA",Lancaster,PA
-75.1298939,40.3101063,10000,1,"Philadelphia, PA",Philadelphia,PA
-79.9958864,40.4406248,3500,0,"Pittsburgh, PA",Pittsburgh,PA
-81.0348144,34.0007104,200,0,"State College, PA",State College,PA
-71.4128343,41.8239891,200,0,"Providence, RI",Providence,RI
-82.3940104,34.8526176,2000,0,"Charleston, SC",Charleston,SC
-103.2310149,44.0805434,24,0,"Columbia, SC",Columbia,SC
-96.7311034,43.5445959,200,0,"Greenville, SC",Greenville,SC
-85.3096801,35.0456297,1000,0,"Rapid City, SD",Rapid City,SD
-77.8600012,40.7933949,0,0,"Sioux Falls, SD",Sioux Falls,SD
-83.9207392,35.9606384,1000,1,"Chattanooga, TN",Chattanooga,TN
-79.9310512,32.7764749,300,0,"Knoxville, TN",Knoxville,TN
-90.0489801,35.1495343,24,0,"Memphis, TN",Memphis,TN
-101.8312969,35.2219971,4000,1,"Nashville, TN",Nashville,TN
-97.7430608,30.267153,300,0,"Amarillo, TX",Amarillo,TX
-86.7816016,36.1626638,6000,1,"Austin, TX",Austin,TX
-97.3307658,32.7554883,2750,0,"Dallas, TX",Dallas,TX
-96.7969879,32.7766642,1000,1,"Fort Worth, TX",Fort Worth,TX
-95.3698028,29.7604267,15000,1,"Houston, TX",Houston,TX
-101.8551665,33.5778631,200,1,"Lubbock, TX",Lubbock,TX
-98.4936282,29.4241219,1700,0,"San Antonio, TX",San Antonio,TX
-98.7481167,33.9309651,0,1,"Wichita, TX",Wichita,TX
-111.8910474,40.7607793,3000,0,"Salt Lake City, UT",Salt Lake City,UT
-73.212072,44.4758825,0,1,"Burlington, VT",Burlington,VT
-72.5753869,44.2600593,200,1,"Montpelier, VT",Montpelier,VT
-72.9726065,43.6106237,0,1,"Rutland, VT",Rutland,VT
-78.4766781,38.0293059,200,0,"Charlottesville, VA",Charlottesville,VA
-76.2858726,36.8507689,200,0,"Norfolk, VA",Norfolk,VA
-76.7074571,37.2707022,25,1,"Williamsburg, VA",Williamsburg,VA
-122.3320708,47.6062095,3000,1,"Seattle, WA",Seattle,WA
-122.9006951,47.0378741,0,0,"Olympia, WA",Olympia,WA
-119.1372338,46.2112458,0,1,"Kennewick, WA",Kennewick,WA
-117.4260466,47.6587802,0,1,"Coupeville, WA",Coupeville,WA
-122.4786854,48.7519112,2000,1,"Bellingham, WA",Bellingham,WA
-122.6862804,48.2198208,200,0,"Spokane, WA",Spokane,WA
-89.4012302,43.0730517,0,0,"Huntington, WV",Huntington,WV
-87.9064736,43.0389025,500,0,"Morgantown, WV",Morgantown,WV
-88.019826,44.519159,4500,0,"Madison, WI",Madison,WI
-82.445154,38.4192496,1100,0,"Milwaukee, WI",Milwaukee,WI
-88.4153847,44.2619309,450,0,"Green Bay, WI",Green Bay,WI
-79.9558968,39.629526,400,0,"Appleton, WI",Appleton,WI
-90.1717987,44.6688524,425,0,"Marshfield, WI",Marshfield,WI
-91.2395807,43.8013556,350,0,"Eau Claire, WI",Eau Claire,WI
-88.5426136,44.0247062,250,0,"La Crosse, WI",La Crosse,WI
-110.7624282,43.4799291,0,0,"Oshkosh, WI",Oshkosh,WI
-109.0565308,44.5263422,300,0,"Laramie, WY",Laramie,WY
-105.5911007,41.3113669,0,0,"Yellowstone, WY",Yellowstone National Park,WY
-110.588455,44.427963,175,0,"Cody, WY",Cody,WY
-91.4984941,44.811349,24,0,"Pinedale, WY",Pinedale,WY
-109.8633501,42.8678809,200,0,"Jackson Hole, WY",Jackson Hole,WY
