City,City_2,StateTerritory,Country,City_State,http://www.unbolt.net/geocode_convertor.php,,
Great Barrington,Great Barrington,MA,US,"Great Barrington, MA","-70.2553259,43.66147100000001",-70.2553259,43.661471
Pittsfield,Pittsfield,MA,US,"Pittsfield, MA","-73.362008,42.1959798",-73.362008,42.1959798
Orono,Orono,ME,US,"Orono, ME","-72.5198537,42.3732216",-72.5198537,42.3732216
Portland,Portland,ME,US,"Portland, ME","-68.67194110000003,44.8831125",-68.6719411,44.8831125
Ann Arbor,Ann Arbor,MI,US,"Ann Arbor, MI","-83.74303780000002,42.2808256",-83.7430378,42.2808256
Detroit,Detroit,MI,US,"Detroit, MI","-84.95532960000003,45.3733428",-84.9553296,45.3733428
Grand Rapids,Grand Rapids,MI,US,"Grand Rapids, MI","-85.66808630000003,42.9633599",-85.6680863,42.9633599
Lansing,Lansing,MI,US,"Lansing, MI","-84.55553470000001,42.732535",-84.5555347,42.732535
Midland,Midland,MI,US,"Midland, MI","-84.24721160000001,43.6155825",-84.2472116,43.6155825
Petoskey,Petoskey,MI,US,"Petoskey, MI","-83.0457538,42.331427",-83.0457538,42.331427
Ypsilanti,Ypsilanti,MI,US,"Ypsilanti, MI","-96.76780389999999,46.8737648",-96.7678039,46.8737648
Houghton,Houghton,MI,US,"Houghton, MI","-92.10048519999998,46.78667189999999",-92.1004852,46.7866719
Duluth,Duluth,MN,US,"Duluth, MN","-94.45930179999999,44.3144394",-94.4593018,44.3144394
St. Paul,St. Paul,MN,US,"St. Paul, MN","-89.2903392,31.3271189",-89.2903392,31.3271189
Moorhead,Moorhead,MN,US,"Moorhead, MN","-92.4801989,44.0121221",-92.4801989,44.0121221
New Ulm,New Ulm,MN,US,"New Ulm, MN","-83.61299389999999,42.2411499",-83.6129939,42.2411499
Grand Marais,Grand Marais,MN,US,"Grand Marais, MN","-88.56941819999997,47.12113309999999",-88.5694182,47.1211331
Rochester,Rochester,MN,US,"Rochester, MN","-93.08995779999998,44.9537029",-93.0899578,44.9537029
Hattiesburg,Hattiesburg,MS,US,"Hattiesburg, MS","-90.33427269999999,47.7504469",-90.3342727,47.7504469
Long Beach,Long Beach,MS,US,"Long Beach, MS","-92.33407239999997,38.9517053",-92.3340724,38.9517053
Oxford,Oxford,MS,US,"Oxford, MS","-89.15281759999999,30.35047509999999",-89.1528176,30.3504751
Columbia,Columbia,MO,US,"Columbia, MO","-94.87247059999999,40.3461017",-94.8724706,40.3461017
Joplin,Joplin,MO,US,"Joplin, MO","-89.51924839999998,34.3664951",-89.5192484,34.3664951
Kansas City,Kansas City,MO,US,"Kansas City, MO","-94.57856670000001,39.0997265",-94.5785667,39.0997265
Maryville,Maryville,MO,US,"Maryville, MO","-91.7715303,37.948544",-91.7715303,37.948544
Rolla,Rolla,MO,US,"Rolla, MO","-94.84668099999999,39.7674578",-94.846681,39.7674578
Saint Joseph,Saint Joseph,MO,US,"Saint Joseph, MO","-94.513281,37.08422710000001",-94.513281,37.0842271
St. Louis,St. Louis,MO,US,"St. Louis, MO","-90.1994042,38.6270025",-90.1994042,38.6270025
Springfield,Springfield,MO,US,"Springfield, MO","-93.29229889999999,37.2089572",-93.2922989,37.2089572
Bozeman,Bozeman,MT,US,"Bozeman, MT","-111.04293389999998,45.6769979",-111.0429339,45.6769979
Great Falls,Great Falls,MT,US,"Great Falls, MT","-113.99658599999998,46.87871759999999",-113.996586,46.8787176
Missoula,Missoula,MT,US,"Missoula, MT","-80.84312669999997,35.2270869",-80.8431267,35.2270869
Asheville,Asheville,NC,US,"Asheville, NC","-78.63817870000003,35.7795897",-78.6381787,35.7795897
Beaufort,Beaufort,NC,US,"Beaufort, NC","-111.28334489999997,47.4941836",-111.2833449,47.4941836
Charlotte,Charlotte,NC,US,"Charlotte, NC","-76.66381860000001,34.7182174",-76.6638186,34.7182174
Greensboro,Greensboro,NC,US,"Greensboro, NC","-82.55148689999999,35.5950581",-82.5514869,35.5950581
Morganton,Morganton,NC,US,"Morganton, NC","-79.79197540000001,36.0726354",-79.7919754,36.0726354
Raleigh,Raleigh,NC,US,"Raleigh, NC","-81.68481880000002,35.7454071",-81.6848188,35.7454071
Washington,Washington,NC,US,"Washington, NC","-77.05217419999997,35.54655169999999",-77.0521742,35.5465517
Wilmington,Wilmington,NC,US,"Wilmington, NC","-77.94471020000003,34.2257255",-77.9447102,34.2257255
Grand Forks,Grand Forks,ND,US,"Grand Forks, ND","-95.99798829999997,41.2523634",-95.9979883,41.2523634
Lincoln,Lincoln,NE,US,"Lincoln, NE","-96.6851982,40.8257625",-96.6851982,40.8257625
Omaha,Omaha,NE,US,"Omaha, NE","-74.6672226,40.3572976",-74.6672226,40.3572976
Concord,Concord,NH,US,"Concord, NH","-74.74293840000001,40.2170534",-74.7429384,40.2170534
Atlantic City,Atlantic City,NJ,US,"Atlantic City, NJ","-97.03285470000003,47.9252568",-97.0328547,47.9252568
Princeton,Princeton,NJ,US,"Princeton, NJ","-71.53757180000002,43.2081366",-71.5375718,43.2081366
Trenton,Trenton,NJ,US,"Trenton, NJ","-74.42292659999998,39.3642834",-74.4229266,39.3642834
Albuquerque,Albuquerque,MN,US,"Albuquerque, MN","-106.60555340000002,35.0853336",-106.6055534,35.0853336
Clovis,Clovis,NM,US,"Clovis, NM","-103.20522719999997,34.4047987",-103.2052272,34.4047987
Las Cruces,Las Cruces,NM,US,"Las Cruces, NM","-119.8138027,39.5296329",-119.8138027,39.5296329
Santa Fe,Santa Fe,NM,US,"Santa Fe, NM","-115.13982959999998,36.1699412",-115.1398296,36.1699412
Socorro,Socorro,NM,US,"Socorro, NM","-106.76365379999999,32.3199396",-106.7636538,32.3199396
Silver City,Silver City,NM,US,"Silver City, NM","-105.93779899999998,35.6869752",-105.937799,35.6869752
Las Vegas,Las Vegas,NV,US,"Las Vegas, NV","-106.89141589999997,34.0583995",-106.8914159,34.0583995
Reno,Reno,NV,US,"Reno, NV","-108.280326,32.770075",-108.280326,32.770075
Binghamton,Binghamton,NY,US,"Binghamton, NY","-75.91797380000003,42.09868669999999",-75.9179738,42.0986867
Buffalo,Buffalo,NY,US,"Buffalo, NY","-78.8783689,42.88644679999999",-78.8783689,42.8864468
Ithaca,Ithaca,NY,US,"Ithaca, NY","-76.50188070000002,42.4439614",-76.5018807,42.4439614
Syracuse,Syracuse,NY,US,"Syracuse, NY","-76.14742439999998,43.0481221",-76.1474244,43.0481221
Rochester,Rochester,NY,US,"Rochester, NY","-77.6109219,43.16103",-77.6109219,43.16103
New York,New York,NY,US,"New York, NY","-82.99879420000002,39.9611755",-82.9987942,39.9611755
Watertown,Watertown,NY,US,"Watertown, NY","-74.00594130000002,40.7127837",-74.0059413,40.7127837
Cleveland,Cleveland,OH,US,"Cleveland, OH","-81.69436050000002,41.49932",-81.6943605,41.49932
Columbus,Columbus,OH,US,"Columbus, OH","-84.19160690000001,39.7589478",-84.1916069,39.7589478
Dayton,Dayton,OH,US,"Dayton, OH","-84.51201960000003,39.1031182",-84.5120196,39.1031182
Mansfield,Mansfield,OH,US,"Mansfield, OH","-75.91075649999999,43.9747838",-75.9107565,43.9747838
Toledo,Toledo,OH,US,"Toledo, OH","-83.55521199999998,41.6639383",-83.555212,41.6639383
Yellow Springs ,Yellow Springs ,OH,US,"Yellow Springs , OH","-82.51544710000002,40.75839",-82.5154471,40.75839
Cincinnati,Cincinnati,OH,US,"Cincinnati, OH","-83.88687399999998,39.8064486",-83.886874,39.8064486
Oklahoma City,Oklahoma City,OK,US,"Oklahoma City, OK","-123.2620435,44.5645659",-123.2620435,44.5645659
Corvallis,Corvallis,OR,US,"Corvallis, OR","-97.51642759999999,35.4675602",-97.5164276,35.4675602
Eugene,Eugene,OR,US,"Eugene, OR","-122.67648159999999,45.5230622",-122.6764816,45.5230622
Portland,Portland,OR,US,"Portland, OR","-123.08675360000001,44.0520691",-123.0867536,44.0520691
Salem,Salem,OR,US,"Salem, OR","-123.03509630000002,44.9428975",-123.0350963,44.9428975
Beaver,Beaver,PA,US,"Beaver, PA","-75.37045790000002,40.6259316",-75.3704579,40.6259316
Bethlehem,Bethlehem,PA,US,"Bethlehem, PA","-75.1812913,40.9995386",-75.1812913,40.9995386
Doylestown,Doylestown,PA,US,"Doylestown, PA","-75.16522150000003,39.9525839",-75.1652215,39.9525839
East Stroudsburg,East Stroudsburg,PA,US,"East Stroudsburg, PA","-76.30551439999999,40.0378755",-76.3055144,40.0378755
Lancaster,Lancaster,PA,US,"Lancaster, PA","-80.3047846,40.6953437",-80.3047846,40.6953437
Philadelphia,Philadelphia,PA,US,"Philadelphia, PA","-75.12989390000001,40.3101063",-75.1298939,40.3101063
Pittsburgh,Pittsburgh,PA,US,"Pittsburgh, PA","-79.99588640000002,40.44062479999999",-79.9958864,40.4406248
State College,State College,PA,US,"State College, PA","-81.03481440000002,34.0007104",-81.0348144,34.0007104
Providence,Providence,RI,US,"Providence, RI","-71.41283429999999,41.8239891",-71.4128343,41.8239891
Charleston,Charleston,SC,US,"Charleston, SC","-82.39401040000001,34.85261759999999",-82.3940104,34.8526176
Columbia,Columbia,SC,US,"Columbia, SC","-103.23101489999999,44.0805434",-103.2310149,44.0805434
Greenville,Greenville,SC,US,"Greenville, SC","-96.7311034,43.5445959",-96.7311034,43.5445959
Rapid City,Rapid City,SD,US,"Rapid City, SD","-85.30968009999998,35.0456297",-85.3096801,35.0456297
Sioux Falls,Sioux Falls,SD,US,"Sioux Falls, SD","-77.8600012,40.7933949",-77.8600012,40.7933949
Chattanooga,Chattanooga,TN,US,"Chattanooga, TN","-83.92073920000001,35.9606384",-83.9207392,35.9606384
Knoxville,Knoxville,TN,US,"Knoxville, TN","-79.93105120000001,32.7764749",-79.9310512,32.7764749
Memphis,Memphis,TN,US,"Memphis, TN","-90.0489801,35.1495343",-90.0489801,35.1495343
Nashville,Nashville,TN,US,"Nashville, TN","-101.83129689999998,35.2219971",-101.8312969,35.2219971
Amarillo,Amarillo,TX,US,"Amarillo, TX","-97.74306079999997,30.267153",-97.7430608,30.267153
Austin,Austin,TX,US,"Austin, TX","-86.78160159999999,36.1626638",-86.7816016,36.1626638
Dallas,Dallas,TX,US,"Dallas, TX","-97.3307658,32.7554883",-97.3307658,32.7554883
Fort Worth,Fort Worth,TX,US,"Fort Worth, TX","-96.79698789999998,32.7766642",-96.7969879,32.7766642
Houston,Houston,TX,US,"Houston, TX","-95.3698028,29.7604267",-95.3698028,29.7604267
Lubbock,Lubbock,TX,US,"Lubbock, TX","-101.8551665,33.5778631",-101.8551665,33.5778631
San Antonio,San Antonio,TX,US,"San Antonio, TX","-98.49362819999999,29.4241219",-98.4936282,29.4241219
Wichita,Wichita,TX,US,"Wichita, TX","-98.74811669999997,33.9309651",-98.7481167,33.9309651
Salt Lake City,Salt Lake City,UT,US,"Salt Lake City, UT","-111.89104739999999,40.7607793",-111.8910474,40.7607793
Burlington,Burlington,VT,US,"Burlington, VT","-73.21207199999998,44.4758825",-73.212072,44.4758825
Montpelier,Montpelier,VT,US,"Montpelier, VT","-72.57538690000001,44.26005929999999",-72.5753869,44.2600593
Rutland,Rutland,VT,US,"Rutland, VT","-72.97260649999998,43.6106237",-72.9726065,43.6106237
Charlottesville,Charlottesville,VA,US,"Charlottesville, VA","-78.47667810000002,38.0293059",-78.4766781,38.0293059
Norfolk,Norfolk,VA,US,"Norfolk, VA","-76.2858726,36.8507689",-76.2858726,36.8507689
Williamsburg,Williamsburg,VA,US,"Williamsburg, VA","-76.7074571,37.2707022",-76.7074571,37.2707022
Seattle,Seattle,WA,US,"Seattle, WA","-122.3320708,47.6062095",-122.3320708,47.6062095
Olympia,Olympia,WA,US,"Olympia, WA","-122.90069510000001,47.0378741",-122.9006951,47.0378741
Kennewick,Kennewick,WA,US,"Kennewick, WA","-119.13723379999999,46.2112458",-119.1372338,46.2112458
Coupeville,Coupeville,WA,US,"Coupeville, WA","-117.4260466,47.6587802",-117.4260466,47.6587802
Bellingham,Bellingham,WA,US,"Bellingham, WA","-122.47868540000002,48.7519112",-122.4786854,48.7519112
Spokane,Spokane,WA,US,"Spokane, WA","-122.68628039999999,48.2198208",-122.6862804,48.2198208
Huntington,Huntington,WV,US,"Huntington, WV","-89.40123019999999,43.0730517",-89.4012302,43.0730517
Morgantown,Morgantown,WV,US,"Morgantown, WV","-87.90647360000003,43.0389025",-87.9064736,43.0389025
Madison,Madison,WI,US,"Madison, WI","-88.01982599999997,44.51915899999999",-88.019826,44.519159
Milwaukee,Milwaukee,WI,US,"Milwaukee, WI","-82.445154,38.4192496",-82.445154,38.4192496
Green Bay,Green Bay,WI,US,"Green Bay, WI","-88.4153847,44.2619309",-88.4153847,44.2619309
Appleton,Appleton,WI,US,"Appleton, WI","-79.9558968,39.629526",-79.9558968,39.629526
Marshfield,Marshfield,WI,US,"Marshfield, WI","-90.17179870000001,44.6688524",-90.1717987,44.6688524
Eau Claire,Eau Claire,WI,US,"Eau Claire, WI","-91.23958069999998,43.8013556",-91.2395807,43.8013556
La Crosse,La Crosse,WI,US,"La Crosse, WI","-88.54261359999998,44.0247062",-88.5426136,44.0247062
Oshkosh,Oshkosh,WI,US,"Oshkosh, WI","-110.76242819999999,43.4799291",-110.7624282,43.4799291
Laramie,Laramie,WY,US,"Laramie, WY","-109.05653080000002,44.52634219999999",-109.0565308,44.5263422
Yellowstone National Park,Yellowstone,WY,US,"Yellowstone National Park, WY","-105.59110069999997,41.3113669",-105.5911007,41.3113669
Cody,Cody,WY,US,"Cody, WY","-110.58845500000001,44.427963",-110.588455,44.427963
Pinedale,Pinedale,WY,US,"Pinedale, WY","-91.49849410000002,44.811349",-91.4984941,44.811349
Jackson Hole,Jackson Hole,WY,US,"Jackson Hole, WY","-109.86335009999999,42.8678809",-109.8633501,42.8678809
